Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
H4K8ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	3288
H4K8ac;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K8ac	Late Embryonic stage	Karpen, G.	3289
H4K8ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	5060
H4K8ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	5262
H4K8ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K8ac	Mixed Adult	Karpen, G.	5581
H4K8ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K8ac	Late Embryonic stage	Karpen, G.	322
hairy;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	hairy	Embryos 0-8 hr	White, K.	2574
hairy;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	hairy	Embryos 0-8 hr	White, K.	4982
hairy;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	hairy	Embryos 8-16 hr	White, K.	3827
HDAC11;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC11	Embryos 0-12 hr	White, K.	2558
HDAC11;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC11	Embryos 0-12 hr	White, K.	2567
HDAC11;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC11	Embryos 0-12 hr	White, K.	2629
HDAC11;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC11	Embryos 0-12 hr	White, K.	2630
HDAC1;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC1	Embryos 0-12 hr	White, K.	2559
HDAC1;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC1	Embryos 0-12 hr	White, K.	2560
HDAC1;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC1	Embryos 0-12 hr	White, K.	2635
HDAC1;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC1	Embryos 0-12 hr	White, K.	2636
HDAC3;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC3	Embryos 0-12 hr	White, K.	2561
HDAC3;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC3	Embryos 0-12 hr	White, K.	2562
HDAC3;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC3	Embryos 0-12 hr	White, K.	2633
HDAC3;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC3	Embryos 0-12 hr	White, K.	2634
HDAC4a;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC4a	Embryos 0-12 hr	White, K.	2563
HDAC4a;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC4a	Embryos 0-12 hr	White, K.	2564
HDAC4a;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC4a	Embryos 0-12 hr	White, K.	2627
HDAC4a;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC4a	Embryos 0-12 hr	White, K.	2628
HDAC6;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC6	Embryos 0-12 hr	White, K.	2565
HDAC6;Y cn bw sp;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HDAC6	Embryos 0-12 hr	White, K.	2566
HDAC6;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC6	Embryos 0-12 hr	White, K.	2631
HDAC6;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC6	Embryos 0-12 hr	White, K.	2632
HP1;Embryos 16-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1	Embryos 16-24 hr	White, K.	3187
HP1;Embryos 16-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1	Embryos 16-24 hr	White, K.	3188
HP1;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	HP1	Embryos 16-24 hr	White, K.	3391
HP1;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	HP1	Embryos 16-24 hr	White, K.	3392
HP1;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1	Embryos 8-16 hr	White, K.	4091
HP1a;Ago2 414;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	5263
HP1a;CG8409-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	3893
HP1a;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	2667
HP1a;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3702
HP1a;Fly-GFP-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	3707
HP1a;G9a mutant ;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	5572
HP1a;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	4203
HP1a;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	5607
HP1a;HP1c mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	6075
HP1a;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	2666
HP1a;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	4126
HP1a;mt2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3703
HP1a;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Embryos 14-16 hr OR	Karpen, G.	3024
HP1a;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1a	Embryos 14-16 hr OR	Karpen, G.	3956
HP1a;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Embryos 2-4 hr OR	Karpen, G.	2665
HP1a;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	955
HP1a;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3704
HP1a;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3705
HP1a;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	4936
HP1a;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Mixed Adult	Karpen, G.	957
HP1a;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1a	Mixed Adult	Karpen, G.	5592
HP1a;Oregon-R;Tissue:Ovary:GK:1;Adult Female;Ovary;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Adult Female	Karpen, G.	3947
HP1a;PIWI2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	5061
HP1a;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3780
HP1a;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	323
HP1a;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	2668
HP1a;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	3700
HP1a;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	3777
HP1a;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	HP1a	Late Embryonic stage	Karpen, G.	6074
HP1a;Su(var) 3-9 06 17 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3892
HP1a;Su(var)3-9 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	3706
HP1b;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Larvae 3rd instar	Karpen, G.	3017
HP1b;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Larvae 3rd instar	Karpen, G.	5573
HP1b;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Larvae 3rd instar	Karpen, G.	5604
HP1b;HP1c mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Larvae 3rd instar	Karpen, G.	4184
HP1b;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Late Embryonic stage	Karpen, G.	3019
HP1b;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Late Embryonic stage	Karpen, G.	4127
HP1b;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Larvae 3rd instar	Karpen, G.	3016
HP1b;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Embryos 14-16 hr OR	Karpen, G.	3015
HP1b;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Embryos 14-16 hr OR	Karpen, G.	3290
HP1b;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1b	Embryos 14-16 hr OR	Karpen, G.	5111
HP1b;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	HP1b	Larvae 3rd instar	Karpen, G.	3018
HP1b;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1b	Larvae 3rd instar	Karpen, G.	5110
HP1b;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Mixed Adult	Karpen, G.	3778
HP1b;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1b	Mixed Adult	Karpen, G.	5590
HP1b;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Late Embryonic stage	Karpen, G.	941
HP1b;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1b	Late Embryonic stage	Karpen, G.	3020
HP1c;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Larvae 3rd instar	Karpen, G.	2669
HP1c;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Larvae 3rd instar	Karpen, G.	3701
HP1c;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Late Embryonic stage	Karpen, G.	2670
HP1c;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Larvae 3rd instar	Karpen, G.	942
HP1c;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Embryos 14-16 hr OR	Karpen, G.	3021
HP1c;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1c	Embryos 14-16 hr OR	Karpen, G.	5587
HP1c;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Embryos 2-4 hr OR	Karpen, G.	3022
HP1c;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	HP1c	Larvae 3rd instar	Karpen, G.	3023
HP1c;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1c	Larvae 3rd instar	Karpen, G.	5112
HP1c;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Mixed Adult	Karpen, G.	3779
HP1c;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1c	Mixed Adult	Karpen, G.	5591
HP1c;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Late Embryonic stage	Karpen, G.	943
HP1c;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1c	Late Embryonic stage	Karpen, G.	3291
HP2;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Larvae 3rd instar	Karpen, G.	3027
HP2;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Late Embryonic stage	Karpen, G.	3029
HP2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Larvae 3rd instar	Karpen, G.	3026
HP2;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Embryos 14-16 hr OR	Karpen, G.	3025
HP2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP2	Embryos 14-16 hr OR	Karpen, G.	5264
HP2;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	HP2	Embryos 2-4 hr OR	Karpen, G.	3944
HP2;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	HP2	Larvae 3rd instar	Karpen, G.	3028
HP2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP2	Larvae 3rd instar	Karpen, G.	5113
HP2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Mixed Adult	Karpen, G.	3781
HP2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP2	Mixed Adult	Karpen, G.	5593
HP2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP2	Late Embryonic stage	Karpen, G.	944
HP4;CG8044-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;integrated-gene-model	D. melanogaster	integrated-gene-model	Non TF Chromatin binding factor	HP4	Late Embryonic stage	Karpen, G.	5600
HP4;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP4	Late Embryonic stage	Karpen, G.	4186
HP4;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP4	Larvae 3rd instar	Karpen, G.	4185
HP4;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP4	Embryos 14-16 hr OR	Karpen, G.	4944
HP4;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP4	Larvae 3rd instar	Karpen, G.	3782
HP4;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP4	Late Embryonic stage	Karpen, G.	3948
Hr39;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Hr39	Embryos 16-24 hr	White, K.	3390
Hr46;Hr46-GFP;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Hr46	Embryos 0-8 hr	White, K.	5023
Hr78;Hr78-GFP;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Hr78	Embryos 8-16 hr	White, K.	4998
hth;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	hth	Embryos 0-8 hr	White, K.	4070
Huckebein;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Huckebein	Embryos 0-8 hr	White, K.	2575
Huckebein;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Huckebein	Embryos 8-16 hr	White, K.	3242
Invected;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Invected	Embryos 0-12 hr	White, K.	605
Invected;INV-GFP;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Invected	Embryos 0-12 hr	White, K.	619
ISWI;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Late Embryonic stage	Karpen, G.	3031
ISWI;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Larvae 3rd instar	Karpen, G.	3030
ISWI;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Late Embryonic stage	Karpen, G.	3032
ISWI;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Late Embryonic stage	Karpen, G.	5062
JHDM1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	JHDM1	Larvae 3rd instar	Karpen, G.	5145
JHDM1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JHDM1	Embryos 14-16 hr OR	Karpen, G.	5114
JHDM1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JHDM1	Mixed Adult	Karpen, G.	5575
JHDM1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JHDM1	Late Embryonic stage	Karpen, G.	3708
JHDM1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JHDM1	Late Embryonic stage	Karpen, G.	4714
JIL-1;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Larvae 3rd instar	Karpen, G.	3036
JIL-1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Late Embryonic stage	Karpen, G.	3037
JIL-1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Larvae 3rd instar	Karpen, G.	3035
JIL-1;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Embryos 14-16 hr OR	Karpen, G.	3034
JIL-1;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Larvae 3rd instar	Karpen, G.	3292
JIL-1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Late Embryonic stage	Karpen, G.	945
JIL-1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JIL-1	Late Embryonic stage	Karpen, G.	3038
JMJD2A/KDM4A;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JMJD2A/KDM4A	Larvae 3rd instar	Karpen, G.	5115
JMJD2A/KDM4A;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JMJD2A/KDM4A	Mixed Adult	Karpen, G.	5594
JMJD2A/KDM4A;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JMJD2A/KDM4A	Late Embryonic stage	Karpen, G.	3783
JMJD2A/KDM4A;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	JMJD2A/KDM4A	Late Embryonic stage	Karpen, G.	3784
Jumeau;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Jumeau	Embryos 0-8 hr	White, K.	2576
KNI;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	KNI	Embryos 8-16 hr	White, K.	3243
KNOT;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	KNOT	Embryos 0-12 hr	White, K.	618
Kruppel;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Kruppel	Embryos 16-24 hr	White, K.	3394
Kruppel;FlyStrain;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Kruppel	Embryos 0-4 hr	White, K.	3812
Kruppel;Y cn bw sp;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Kruppel	Embryos 0-8 hr	White, K.	898
lola;lola-RJ-GFP;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	lola	Embryos 0-12 hr	White, K.	5004
lola;lola-RJ-GFP;Embryos 12-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	lola	Embryos 12-24 hr	White, K.	5005
LSD1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Embryos 14-16 hr OR	Karpen, G.	5116
LSD1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Larvae 3rd instar	Karpen, G.	5597
